Timestamp,SourceNode,ContactedNode,ContactLength
Sun Jan 07 18:24:21 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,4223
Sun Jan 07 18:24:29 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,4302
Sun Jan 07 18:24:33 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,1806
Sun Jan 07 18:24:41 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,3458
Sun Jan 07 18:24:45 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,3764
Sun Jan 07 18:24:46 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,2403
Sun Jan 07 18:24:52 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,3681
Sun Jan 07 18:25:07 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,4901
Sun Jan 07 18:25:08 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,4671
Sun Jan 07 18:25:17 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,836
Sun Jan 07 18:25:36 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,1534
Sun Jan 07 18:25:56 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,2301
Sun Jan 07 18:26:08 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,3406
Sun Jan 07 18:26:32 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,22506
Sun Jan 07 18:26:38 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,28300
Sun Jan 07 18:26:38 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,22834
Sun Jan 07 18:26:39 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,6450
Sun Jan 07 18:26:46 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,2056
Sun Jan 07 18:26:52 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,879
Sun Jan 07 18:27:00 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,5158
Sun Jan 07 18:27:16 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,14357
Sun Jan 07 18:27:18 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,8598
Sun Jan 07 18:27:33 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,4480
Sun Jan 07 18:27:37 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,2301
Sun Jan 07 18:27:41 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:60:E2:DB:73:29,2697
Sun Jan 07 18:28:08 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,7295
Sun Jan 07 18:28:39 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,20285
Sun Jan 07 18:28:55 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,7204
Sun Jan 07 18:29:02 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,10745
Sun Jan 07 18:29:03 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,5862
Sun Jan 07 18:29:07 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,2456
Sun Jan 07 18:29:13 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,3610
