Timestamp,SourceNode,ContactedNode,ContactLength
Mon Jan 08 06:29:55 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,270
Mon Jan 08 06:29:57 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,937
Mon Jan 08 06:30:34 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,2349
Mon Jan 08 06:30:40 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,907
Mon Jan 08 06:30:45 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,456
Mon Jan 08 06:31:06 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1843
Mon Jan 08 06:31:18 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,195
Mon Jan 08 06:31:50 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,27029
Mon Jan 08 06:31:52 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,20128
Mon Jan 08 06:31:55 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,404
Mon Jan 08 06:31:59 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,149
Mon Jan 08 06:32:08 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,869
Mon Jan 08 06:32:42 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,19311
Mon Jan 08 06:32:43 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,13778
Mon Jan 08 06:32:48 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,1312
Mon Jan 08 06:32:57 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1778
Mon Jan 08 06:33:13 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,5320
Mon Jan 08 06:33:15 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,156
Mon Jan 08 06:33:19 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1251
Mon Jan 08 06:33:32 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,1301
Mon Jan 08 06:33:48 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,2990
Mon Jan 08 06:34:07 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,14232
Mon Jan 08 06:34:09 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,7067
Mon Jan 08 06:34:15 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,824
Mon Jan 08 06:34:26 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,1738
Mon Jan 08 06:34:38 GMT+01:00 2024,0C:C6:FD:1E:63:2B,F4:CB:52:73:DD:23,2428
Mon Jan 08 06:34:51 GMT+01:00 2024,0C:C6:FD:1E:63:2B,04:D1:3A:60:45:AB,5721
Mon Jan 08 06:34:57 GMT+01:00 2024,0C:C6:FD:1E:63:2B,20:34:FB:ED:94:5D,1445
