Timestamp,SourceNode,ContactedNode,ContactLength
Sun Jan 07 18:18:27 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,4310
Sun Jan 07 18:18:31 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,1831
Sun Jan 07 18:18:47 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,4555
Sun Jan 07 18:18:53 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2114
Sun Jan 07 18:18:57 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2878
Sun Jan 07 18:19:02 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,5478
Sun Jan 07 18:19:12 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,2913
Sun Jan 07 18:19:20 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,3
Sun Jan 07 18:19:20 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,9331
Sun Jan 07 18:19:27 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1660
Sun Jan 07 18:19:31 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1863
Sun Jan 07 18:19:34 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1596
Sun Jan 07 18:19:37 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1664
Sun Jan 07 18:19:41 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2124
Sun Jan 07 18:19:46 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1883
Sun Jan 07 18:19:49 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1625
Sun Jan 07 18:19:54 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,1866
Sun Jan 07 18:20:04 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,4895
Sun Jan 07 18:20:09 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,5426
Sun Jan 07 18:20:10 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,5077
Sun Jan 07 18:20:14 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,2072
Sun Jan 07 18:20:22 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,5972
Sun Jan 07 18:20:27 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,6684
Sun Jan 07 18:20:32 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,8382
Sun Jan 07 18:20:34 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,6980
Sun Jan 07 18:20:38 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,18459
Sun Jan 07 18:20:40 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,4894
Sun Jan 07 18:20:46 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,9229
Sun Jan 07 18:20:46 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,5633
Sun Jan 07 18:21:07 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,25339
Sun Jan 07 18:21:27 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,40198
Sun Jan 07 18:21:48 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,32764
Sun Jan 07 18:21:51 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,15533
Sun Jan 07 18:21:56 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,47570
Sun Jan 07 18:22:01 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,9031
Sun Jan 07 18:22:03 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,8434
Sun Jan 07 18:22:04 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,7660
Sun Jan 07 18:22:06 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,890
Sun Jan 07 18:22:06 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,8
Sun Jan 07 18:22:10 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,3080
Sun Jan 07 18:22:14 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,12891
Sun Jan 07 18:22:24 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,6
Sun Jan 07 18:22:24 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,14211
Sun Jan 07 18:22:27 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,5674
Sun Jan 07 18:22:33 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,11151
Sun Jan 07 18:22:51 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,25978
Sun Jan 07 18:22:52 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,25838
Sun Jan 07 18:22:54 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,12790
Sun Jan 07 18:22:59 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,15640
Sun Jan 07 18:23:08 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,2504
Sun Jan 07 18:23:16 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,4358
Sun Jan 07 18:23:29 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,5547
Sun Jan 07 18:23:51 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,5979
Sun Jan 07 18:24:01 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,17475
Sun Jan 07 18:24:05 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:60:E2:DB:73:29,5496
Sun Jan 07 18:24:10 GMT+01:00 2024,20:34:FB:ED:94:5D,F4:CB:52:73:DD:23,7808
Sun Jan 07 18:24:12 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,6865
Sun Jan 07 18:24:16 GMT+01:00 2024,20:34:FB:ED:94:5D,04:D1:3A:60:45:AB,10327
Sun Jan 07 18:24:18 GMT+01:00 2024,20:34:FB:ED:94:5D,0C:C6:FD:1E:63:2B,5101
